"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Taxon_001","Bacteria","Bacteroidota","Class_1","Order_1","Family_1","Genus_1","Species_1"
"Taxon_002","Bacteria","Firmicutes","Class_2","Order_2","Family_2","Genus_2","Species_2"
"Taxon_003","Bacteria","Firmicutes","Class_3","Order_3","Family_3","Genus_3","Species_3"
"Taxon_004","Bacteria","Firmicutes","Class_4","Order_4","Family_4","Genus_4","Species_4"
"Taxon_005","Bacteria","Firmicutes","Class_5","Order_5","Family_5","Genus_5","Species_5"
"Taxon_006","Bacteria","Proteobacteria","Class_6","Order_6","Family_6","Genus_6","Species_6"
"Taxon_007","Bacteria","Firmicutes","Class_7","Order_7","Family_7","Genus_7","Species_7"
"Taxon_008","Bacteria","Bacteroidota","Class_8","Order_8","Family_8","Genus_8","Species_8"
"Taxon_009","Bacteria","Firmicutes","Class_9","Order_9","Family_9","Genus_9","Species_9"
"Taxon_010","Bacteria","Bacteroidota","Class_10","Order_10","Family_10","Genus_10","Species_10"
"Taxon_011","Bacteria","Firmicutes","Class_11","Order_11","Family_11","Genus_11","Species_11"
"Taxon_012","Bacteria","Bacteroidota","Class_12","Order_12","Family_12","Genus_12","Species_12"
"Taxon_013","Bacteria","Firmicutes","Class_13","Order_13","Family_13","Genus_13","Species_13"
"Taxon_014","Bacteria","Bacteroidota","Class_14","Order_14","Family_14","Genus_14","Species_14"
"Taxon_015","Bacteria","Firmicutes","Class_15","Order_15","Family_15","Genus_15","Species_15"
"Taxon_016","Bacteria","Bacteroidota","Class_16","Order_16","Family_16","Genus_16","Species_16"
"Taxon_017","Bacteria","Bacteroidota","Class_17","Order_17","Family_17","Genus_17","Species_17"
"Taxon_018","Bacteria","Firmicutes","Class_18","Order_18","Family_18","Genus_18","Species_18"
"Taxon_019","Bacteria","Bacteroidota","Class_19","Order_19","Family_19","Genus_19","Species_19"
"Taxon_020","Bacteria","Firmicutes","Class_20","Order_20","Family_20","Genus_20","Species_20"
"Taxon_021","Bacteria","Bacteroidota","Class_21","Order_21","Family_21","Genus_21","Species_21"
"Taxon_022","Bacteria","Firmicutes","Class_22","Order_22","Family_22","Genus_22","Species_22"
"Taxon_023","Bacteria","Bacteroidota","Class_23","Order_23","Family_23","Genus_23","Species_23"
"Taxon_024","Bacteria","Firmicutes","Class_24","Order_24","Family_24","Genus_24","Species_24"
"Taxon_025","Bacteria","Bacteroidota","Class_25","Order_25","Family_25","Genus_25","Species_25"
"Taxon_026","Bacteria","Bacteroidota","Class_26","Order_26","Family_26","Genus_26","Species_26"
"Taxon_027","Bacteria","Bacteroidota","Class_27","Order_27","Family_27","Genus_27","Species_27"
"Taxon_028","Bacteria","Bacteroidota","Class_28","Order_28","Family_28","Genus_28","Species_28"
"Taxon_029","Bacteria","Verrucomicrobiota","Class_29","Order_29","Family_29","Genus_29","Species_29"
"Taxon_030","Bacteria","Bacteroidota","Class_30","Order_30","Family_30","Genus_30","Species_30"
"Taxon_031","Bacteria","Actinobacteria","Class_31","Order_31","Family_31","Genus_31","Species_31"
"Taxon_032","Bacteria","Proteobacteria","Class_32","Order_32","Family_32","Genus_32","Species_32"
"Taxon_033","Bacteria","Firmicutes","Class_33","Order_33","Family_33","Genus_33","Species_33"
"Taxon_034","Bacteria","Actinobacteria","Class_34","Order_34","Family_34","Genus_34","Species_34"
"Taxon_035","Bacteria","Bacteroidota","Class_35","Order_35","Family_35","Genus_35","Species_35"
"Taxon_036","Bacteria","Actinobacteria","Class_36","Order_36","Family_36","Genus_36","Species_36"
"Taxon_037","Bacteria","Proteobacteria","Class_37","Order_37","Family_37","Genus_37","Species_37"
"Taxon_038","Bacteria","Firmicutes","Class_38","Order_38","Family_38","Genus_38","Species_38"
"Taxon_039","Bacteria","Bacteroidota","Class_39","Order_39","Family_39","Genus_39","Species_39"
"Taxon_040","Bacteria","Bacteroidota","Class_40","Order_40","Family_40","Genus_40","Species_40"
"Taxon_041","Bacteria","Bacteroidota","Class_41","Order_41","Family_41","Genus_41","Species_41"
"Taxon_042","Bacteria","Bacteroidota","Class_42","Order_42","Family_42","Genus_42","Species_42"
"Taxon_043","Bacteria","Firmicutes","Class_43","Order_43","Family_43","Genus_43","Species_43"
