"taxon","comparison","n_methods_total","n_methods_sig","n_increased","n_decreased","mean_lfc","median_lfc","min_q","methods_detected","consensus_da","direction","confidence"
"Genus_63","IBD_vs_Healthy",2,0,0,0,-0.7729,-0.7729,0.988698,"",FALSE,"conflicting","low"
"Genus_1","IBD_vs_Healthy",2,0,0,0,-0.8274,-0.8274,0.988717,"",FALSE,"conflicting","low"
"Genus_126","IBD_vs_Healthy",2,0,0,0,-0.6047,-0.6047,0.997995,"",FALSE,"conflicting","low"
"Genus_15","IBD_vs_Healthy",2,0,0,0,-0.8835,-0.8835,0.99826,"",FALSE,"conflicting","low"
"Genus_10","IBD_vs_Healthy",2,0,0,0,0.2476,0.2476,0.999837,"",FALSE,"conflicting","low"
"Genus_100","IBD_vs_Healthy",2,0,0,0,-0.1119,-0.1119,0.999837,"",FALSE,"conflicting","low"
"Genus_101","IBD_vs_Healthy",2,0,0,0,-0.178,-0.178,0.999837,"",FALSE,"conflicting","low"
"Genus_102","IBD_vs_Healthy",2,0,0,0,0.109,0.109,0.999837,"",FALSE,"conflicting","low"
"Genus_103","IBD_vs_Healthy",2,0,0,0,-0.2986,-0.2986,0.999837,"",FALSE,"conflicting","low"
"Genus_104","IBD_vs_Healthy",2,0,0,0,0.3544,0.3544,0.999837,"",FALSE,"conflicting","low"
"Genus_105","IBD_vs_Healthy",2,0,0,0,0.2943,0.2943,0.999837,"",FALSE,"conflicting","low"
"Genus_106","IBD_vs_Healthy",2,0,0,0,0.0615,0.0615,0.999837,"",FALSE,"conflicting","low"
"Genus_107","IBD_vs_Healthy",2,0,0,0,-0.465,-0.465,0.999837,"",FALSE,"conflicting","low"
"Genus_108","IBD_vs_Healthy",2,0,0,0,-0.1158,-0.1158,0.999837,"",FALSE,"conflicting","low"
"Genus_109","IBD_vs_Healthy",2,0,0,0,-0.3497,-0.3497,0.999837,"",FALSE,"conflicting","low"
"Genus_11","IBD_vs_Healthy",2,0,0,0,0.0705,0.0705,0.999837,"",FALSE,"conflicting","low"
"Genus_110","IBD_vs_Healthy",2,0,0,0,0.3152,0.3152,0.999837,"",FALSE,"conflicting","low"
"Genus_111","IBD_vs_Healthy",2,0,0,0,0.2365,0.2365,0.999837,"",FALSE,"conflicting","low"
"Genus_112","IBD_vs_Healthy",2,0,0,0,-0.2083,-0.2083,0.999837,"",FALSE,"conflicting","low"
"Genus_113","IBD_vs_Healthy",2,0,0,0,-0.1851,-0.1851,0.999837,"",FALSE,"conflicting","low"
"Genus_114","IBD_vs_Healthy",2,0,0,0,-0.0797,-0.0797,0.999837,"",FALSE,"conflicting","low"
"Genus_115","IBD_vs_Healthy",2,0,0,0,0.0731,0.0731,0.999837,"",FALSE,"conflicting","low"
"Genus_116","IBD_vs_Healthy",2,0,0,0,0.3988,0.3988,0.999837,"",FALSE,"conflicting","low"
"Genus_117","IBD_vs_Healthy",2,0,0,0,-0.2541,-0.2541,0.999837,"",FALSE,"conflicting","low"
"Genus_118","IBD_vs_Healthy",2,0,0,0,-0.0558,-0.0558,0.999837,"",FALSE,"conflicting","low"
"Genus_119","IBD_vs_Healthy",2,0,0,0,-0.0587,-0.0587,0.999837,"",FALSE,"conflicting","low"
"Genus_12","IBD_vs_Healthy",2,0,0,0,-0.0327,-0.0327,0.999837,"",FALSE,"conflicting","low"
"Genus_120","IBD_vs_Healthy",2,0,0,0,0.6471,0.6471,0.999837,"",FALSE,"conflicting","low"
"Genus_121","IBD_vs_Healthy",2,0,0,0,0.2219,0.2219,0.999837,"",FALSE,"conflicting","low"
"Genus_122","IBD_vs_Healthy",2,0,0,0,0.0087,0.0087,0.999837,"",FALSE,"conflicting","low"
"Genus_123","IBD_vs_Healthy",2,0,0,0,-0.446,-0.446,0.999837,"",FALSE,"conflicting","low"
"Genus_124","IBD_vs_Healthy",2,0,0,0,0.0497,0.0497,0.999837,"",FALSE,"conflicting","low"
"Genus_125","IBD_vs_Healthy",2,0,0,0,-0.2372,-0.2372,0.999837,"",FALSE,"conflicting","low"
"Genus_127","IBD_vs_Healthy",2,0,0,0,-0.0916,-0.0916,0.999837,"",FALSE,"conflicting","low"
"Genus_128","IBD_vs_Healthy",2,0,0,0,-0.3928,-0.3928,0.999837,"",FALSE,"conflicting","low"
"Genus_129","IBD_vs_Healthy",2,0,0,0,-0.1963,-0.1963,0.999837,"",FALSE,"conflicting","low"
"Genus_13","IBD_vs_Healthy",2,0,0,0,0.2862,0.2862,0.999837,"",FALSE,"conflicting","low"
"Genus_130","IBD_vs_Healthy",2,0,0,0,-0.4164,-0.4164,0.999837,"",FALSE,"conflicting","low"
"Genus_131","IBD_vs_Healthy",2,0,0,0,0.2814,0.2814,0.999837,"",FALSE,"conflicting","low"
"Genus_132","IBD_vs_Healthy",2,0,0,0,0.2825,0.2825,0.999837,"",FALSE,"conflicting","low"
"Genus_133","IBD_vs_Healthy",2,0,0,0,-0.1448,-0.1448,0.999837,"",FALSE,"conflicting","low"
"Genus_134","IBD_vs_Healthy",2,0,0,0,0.0421,0.0421,0.999837,"",FALSE,"conflicting","low"
"Genus_135","IBD_vs_Healthy",2,0,0,0,-0.1045,-0.1045,0.999837,"",FALSE,"conflicting","low"
"Genus_136","IBD_vs_Healthy",2,0,0,0,0.2856,0.2856,0.999837,"",FALSE,"conflicting","low"
"Genus_137","IBD_vs_Healthy",2,0,0,0,-0.2796,-0.2796,0.999837,"",FALSE,"conflicting","low"
"Genus_138","IBD_vs_Healthy",2,0,0,0,-0.0699,-0.0699,0.999837,"",FALSE,"conflicting","low"
"Genus_139","IBD_vs_Healthy",2,0,0,0,0.6096,0.6096,0.999837,"",FALSE,"conflicting","low"
"Genus_14","IBD_vs_Healthy",2,0,0,0,0.375,0.375,0.999837,"",FALSE,"conflicting","low"
"Genus_140","IBD_vs_Healthy",2,0,0,0,-0.584,-0.584,0.999837,"",FALSE,"conflicting","low"
"Genus_141","IBD_vs_Healthy",2,0,0,0,0.3059,0.3059,0.999837,"",FALSE,"conflicting","low"
"Genus_142","IBD_vs_Healthy",2,0,0,0,0.2636,0.2636,0.999837,"",FALSE,"conflicting","low"
"Genus_143","IBD_vs_Healthy",2,0,0,0,0.2929,0.2929,0.999837,"",FALSE,"conflicting","low"
"Genus_144","IBD_vs_Healthy",2,0,0,0,0.3723,0.3723,0.999837,"",FALSE,"conflicting","low"
"Genus_145","IBD_vs_Healthy",2,0,0,0,-0.556,-0.556,0.999837,"",FALSE,"conflicting","low"
"Genus_146","IBD_vs_Healthy",2,0,0,0,0.2318,0.2318,0.999837,"",FALSE,"conflicting","low"
"Genus_147","IBD_vs_Healthy",2,0,0,0,0.5498,0.5498,0.999837,"",FALSE,"conflicting","low"
"Genus_148","IBD_vs_Healthy",2,0,0,0,-0.1422,-0.1422,0.999837,"",FALSE,"conflicting","low"
"Genus_149","IBD_vs_Healthy",2,0,0,0,-0.0904,-0.0904,0.999837,"",FALSE,"conflicting","low"
"Genus_150","IBD_vs_Healthy",2,0,0,0,-0.2929,-0.2929,0.999837,"",FALSE,"conflicting","low"
"Genus_16","IBD_vs_Healthy",2,0,0,0,0.0032,0.0032,0.999837,"",FALSE,"conflicting","low"
